"","HGNC.ID","Approved.symbol"
"470","HGNC:18990","ADGRF1"
"471","HGNC:18991","ADGRF2"
"472","HGNC:18989","ADGRF3"
"473","HGNC:19011","ADGRF4"
"474","HGNC:19030","ADGRF5"
"475","HGNC:32922","ADGRF5P1"
"476","HGNC:32921","ADGRF5P2"
"477","HGNC:4512","ADGRG1"
"478","HGNC:4516","ADGRG2"
"479","HGNC:13728","ADGRG3"
"480","HGNC:18992","ADGRG4"
"481","HGNC:19010","ADGRG5"
"482","HGNC:13841","ADGRG6"
"483","HGNC:19241","ADGRG7"
"484","HGNC:20973","ADGRL1"
"485","HGNC:18582","ADGRL2"
"486","HGNC:20974","ADGRL3"
"487","HGNC:50604","ADGRL3-AS1"
"488","HGNC:20822","ADGRL4"
"489","HGNC:17416","ADGRV1"
"490","HGNC:249","ADH1A"
"491","HGNC:250","ADH1B"
"492","HGNC:251","ADH1C"
"493","HGNC:252","ADH4"
"494","HGNC:253","ADH5"
"495","HGNC:254","ADH5P1"
"496","HGNC:22976","ADH5P2"
"497","HGNC:22991","ADH5P3"
"498","HGNC:21377","ADH5P4"
"499","HGNC:255","ADH6"
"500","HGNC:256","ADH7"
"501","HGNC:16354","ADHFE1"
"502","HGNC:30576","ADI1"
"503","HGNC:52339","ADI1P1"
"504","HGNC:52340","ADI1P2"
"505","HGNC:52341","ADI1P3"
"506","HGNC:28606","ADIG"
"507","HGNC:13633","ADIPOQ"
"508","HGNC:40648","ADIPOQ-AS1"
"509","HGNC:24040","ADIPOR1"
"510","HGNC:44910","ADIPOR1P1"
"511","HGNC:44911","ADIPOR1P2"
"512","HGNC:24041","ADIPOR2"
"513","HGNC:24043","ADIRF"
"514","HGNC:45127","ADIRF-AS1"
"515","HGNC:257","ADK"
"516","HGNC:259","ADM"
"517","HGNC:28898","ADM2"
"518","HGNC:27293","ADM5"
"519","HGNC:15766","ADNP"
"520","HGNC:51227","ADNP-AS1"
"521","HGNC:23803","ADNP2"
"522","HGNC:23506","ADO"
"523","HGNC:262","ADORA1"
"524","HGNC:263","ADORA2A"
"525","HGNC:37122","ADORA2A-AS1"
"526","HGNC:264","ADORA2B"
"527","HGNC:265","ADORA2BP1"
"528","HGNC:266","ADORA2L1"
"529","HGNC:267","ADORA2L2"
"530","HGNC:268","ADORA3"
"531","HGNC:25250","ADPGK"
"532","HGNC:44144","ADPGK-AS1"
"533","HGNC:269","ADPRH"
"534","HGNC:21303","ADPRHL1"
"535","HGNC:21304","ADPRHL2"
"536","HGNC:30925","ADPRM"
"537","HGNC:277","ADRA1A"
"538","HGNC:278","ADRA1B"
"539","HGNC:280","ADRA1D"
"540","HGNC:281","ADRA2A"
"541","HGNC:282","ADRA2B"
"542","HGNC:283","ADRA2C"
"543","HGNC:285","ADRB1"
"544","HGNC:286","ADRB2"
"545","HGNC:288","ADRB3"
"546","HGNC:15759","ADRM1"
"547","HGNC:291","ADSL"
"548","HGNC:292","ADSS"
"549","HGNC:20093","ADSSL1"
"550","HGNC:21214","ADTRP"
"551","HGNC:293","ADT"
"552","HGNC:303","AEBP1"
"553","HGNC:24051","AEBP2"
"554","HGNC:25722","AEN"
"555","HGNC:307","AES"
"556","HGNC:309","AF8T"
"557","HGNC:310","AFA"
"558","HGNC:24017","AFAP1"
"559","HGNC:28141","AFAP1-AS1"
"560","HGNC:26714","AFAP1L1"
"561","HGNC:25901","AFAP1L2"
"562","HGNC:312","AFD1"
"563","HGNC:7137","AFDN"
"564","HGNC:21236","AFDN-AS1"
"565","HGNC:7135","AFF1"
"566","HGNC:3776","AFF2"
"567","HGNC:41334","AFF2-IT1"
